step,time
34,0
29,0
18,0
21,0
18,0
14,0
26,0
15,0
37,0
26,0
15,0
21,0
11,0
15,0
22,0
20,0
16,0
18,0
27,0
21,0
16,0
20,0
19,0
19,0
15,0
15,0
13,0
72,0
29,0
49,0
30,0
44,0
11,0
32,0
38,0
46,0
16,0
49,0
35,0
27,0
21,0
15,0
54,0
39,0
41,0
57,0
41,0
137,0
58,0
11,0
34,0
47,0
33,0
15,0
73,0
56,0
31,0
63,0
107,0
31,0
89,0
207,0
71,0
105,0
51,0
52,0
57,0
46,0
79,0
78,0
54,0
54,0
69,0
59,0
42,0
62,0
56,0
92,0
71,0
76,0
85,0
158,0
176,0
101,0
500,0
356,0
246,0
500,0
114,0
500,0
234,0
124,0
500,0
500,0
500,0
