episode,reward
1,26.0
2,26.0
3,13.0
4,20.0
5,29.0
6,11.0
7,26.0
8,36.0
9,36.0
10,26.0
11,45.0
12,26.0
13,29.0
14,15.0
15,69.0
16,20.0
17,18.0
18,25.0
19,16.0
20,10.0
21,14.0
22,21.0
23,42.0
24,15.0
25,16.0
26,15.0
27,29.0
28,31.0
29,21.0
30,41.0
31,35.0
32,53.0
33,64.0
34,51.0
35,14.0
36,37.0
37,29.0
38,65.0
39,65.0
40,135.0
41,113.0
42,90.0
43,43.0
44,64.0
45,49.0
46,77.0
47,68.0
48,62.0
49,50.0
50,78.0
51,51.0
52,71.0
53,57.0
54,47.0
55,52.0
56,59.0
57,45.0
58,40.0
59,42.0
60,41.0
61,46.0
62,54.0
63,83.0
64,117.0
65,66.0
66,85.0
67,60.0
68,66.0
69,106.0
70,73.0
71,83.0
72,88.0
73,68.0
74,45.0
75,53.0
76,17.0
77,17.0
78,13.0
79,11.0
80,18.0
81,15.0
82,13.0
83,13.0
84,60.0
85,16.0
86,52.0
87,76.0
88,71.0
89,92.0
90,88.0
91,106.0
92,156.0
93,121.0
94,235.0
95,335.0
96,176.0
97,346.0
98,500.0
99,500.0
100,62.0
101,500.0
102,500.0
103,375.0
104,344.0
105,500.0
106,500.0
107,82.0
108,43.0
109,11.0
110,18.0
111,68.0
112,500.0
113,98.0
114,141.0
115,250.0
116,500.0
117,436.0
118,500.0
119,500.0
120,500.0
121,500.0
122,500.0
123,500.0
124,500.0
125,500.0
126,500.0
127,500.0
128,500.0
129,500.0
130,500.0
131,500.0
132,500.0
133,500.0
134,500.0
135,500.0
136,500.0
137,500.0
138,500.0
139,500.0
140,500.0
141,500.0
142,500.0
143,500.0
144,500.0
145,500.0
146,500.0
147,500.0
148,500.0
149,500.0
150,500.0
