episode,steps,total_ms,forward_ms,backward_ms,adam_ms
1,0,8.403,3.957,4.057,0.316
1,1,8.349,3.901,4.054,0.322
1,2,8.408,3.959,4.055,0.322
1,3,8.405,3.957,4.053,0.323
1,4,8.409,3.957,4.057,0.323
1,5,8.406,3.958,4.054,0.323
1,6,8.408,3.959,4.053,0.323
1,7,8.406,3.959,4.051,0.323
1,8,8.405,3.958,4.052,0.323
1,9,8.405,3.959,4.050,0.323
1,10,8.406,3.957,4.054,0.323
1,11,8.408,3.959,4.054,0.323
1,12,8.344,3.898,4.050,0.323
1,13,8.407,3.959,4.052,0.323
1,14,8.345,3.899,4.051,0.323
1,15,8.402,3.957,4.050,0.322
1,16,8.407,3.959,4.053,0.323
1,17,8.402,3.958,4.050,0.323
1,18,8.402,3.957,4.050,0.323
1,19,8.404,3.957,4.052,0.323
1,20,8.399,3.959,4.045,0.323
1,21,8.402,3.958,4.049,0.323
1,22,8.404,3.957,4.052,0.323
1,23,8.347,3.898,4.054,0.323
1,24,8.348,3.901,4.051,0.323
1,25,8.403,3.958,4.050,0.323
1,26,8.406,3.959,4.051,0.323
1,27,8.399,3.957,4.046,0.324
1,28,8.403,3.959,4.048,0.323
1,29,8.401,3.958,4.047,0.323
1,30,8.403,3.959,4.048,0.323
1,31,8.346,3.898,4.052,0.323
1,32,8.407,3.957,4.054,0.323
1,33,8.345,3.900,4.049,0.324
1,34,8.394,3.957,4.041,0.324
1,35,8.405,3.957,4.051,0.324
1,36,8.402,3.959,4.047,0.324
1,37,8.401,3.959,4.046,0.324
1,38,8.400,3.957,4.048,0.324
1,39,8.404,3.958,4.051,0.323
1,40,8.402,3.957,4.049,0.324
1,41,8.401,3.959,4.046,0.323
1,42,8.401,3.959,4.046,0.323
1,43,8.395,3.957,4.042,0.323
1,44,8.397,3.959,4.043,0.323
1,45,8.399,3.959,4.043,0.323
1,46,8.402,3.959,4.046,0.324
1,47,8.397,3.957,4.044,0.323
1,48,8.395,3.957,4.042,0.324
1,49,8.393,3.959,4.038,0.324
