episode,steps,total_ms,forward_ms,backward_ms,adam_ms
30,0,788.543,311.666,442.585,31.287
52,1,788.516,310.736,443.384,31.391
68,2,788.142,310.297,443.379,31.467
81,3,787.498,309.780,443.372,31.342
89,4,787.768,309.930,443.353,31.483
95,5,788.183,310.368,443.346,31.468
101,6,787.325,309.604,443.337,31.377
107,7,787.945,310.127,443.323,31.500
111,8,788.349,310.655,443.358,31.335
116,9,788.828,310.965,443.356,31.505
120,10,788.870,311.066,443.328,31.471
126,11,789.130,311.474,443.286,31.373
133,12,788.311,310.615,443.265,31.426
140,13,788.298,310.465,443.266,31.563
145,14,787.798,310.107,443.239,31.449
150,15,788.181,310.626,443.257,31.305
155,16,788.605,310.896,443.258,31.445
160,17,788.206,310.614,443.278,31.312
164,18,787.344,309.853,443.269,31.222
169,19,787.780,310.113,443.275,31.389
172,20,787.363,309.863,443.256,31.240
178,21,786.955,309.398,443.310,31.244
180,22,787.378,309.729,443.297,31.347
183,23,787.900,310.334,443.272,31.286
187,24,787.150,309.827,443.269,31.047
190,25,786.376,308.969,443.281,31.121
194,26,787.337,309.697,443.291,31.346
197,27,786.483,309.100,443.273,31.106
200,28,786.219,308.605,443.324,31.287
202,29,786.903,309.197,443.332,31.375
205,30,787.052,309.433,443.364,31.256
208,31,788.389,310.679,443.306,31.401
210,32,787.685,309.877,443.344,31.464
213,33,787.840,310.368,443.318,31.150
216,34,789.312,311.488,443.364,31.458
219,35,789.952,312.124,443.323,31.500
224,36,789.708,311.973,443.346,31.386
227,37,790.117,312.334,443.313,31.463
231,38,790.195,312.368,443.336,31.488
235,39,790.486,312.865,443.334,31.286
239,40,790.521,312.951,443.304,31.260
243,41,790.306,312.719,443.325,31.262
247,42,791.314,313.513,443.337,31.458
252,43,790.929,313.329,443.310,31.285
256,44,790.599,312.979,443.295,31.319
260,45,790.263,312.642,443.357,31.260
264,46,790.540,312.910,443.350,31.279
268,47,790.981,313.199,443.308,31.464
272,48,791.057,313.229,443.348,31.471
277,49,790.843,313.336,443.315,31.190
281,50,791.301,313.492,443.328,31.478
285,51,791.254,313.526,443.315,31.411
291,52,790.588,312.839,443.350,31.398
297,53,791.217,313.456,443.337,31.422
301,54,791.026,313.211,443.357,31.458
306,55,789.816,312.133,443.357,31.322
310,56,791.041,313.215,443.340,31.486
314,57,791.226,313.407,443.342,31.476
318,58,791.352,313.506,443.324,31.519
322,59,790.978,313.097,443.360,31.517
328,60,790.655,313.078,443.278,31.300
334,61,790.757,312.984,443.293,31.475
338,62,791.142,313.317,443.341,31.480
342,63,791.044,313.325,443.353,31.365
347,64,791.310,313.500,443.308,31.503
351,65,791.185,313.341,443.340,31.498
355,66,791.289,313.455,443.353,31.481
360,67,791.430,313.727,443.301,31.404
364,68,790.724,313.043,443.333,31.347
369,69,790.970,313.146,443.342,31.477
373,70,791.344,313.522,443.330,31.491
376,71,791.242,313.412,443.307,31.517
379,72,791.760,313.963,443.277,31.518
384,73,791.136,313.311,443.313,31.510
387,74,791.587,313.718,443.328,31.534
391,75,792.014,314.171,443.337,31.500
394,76,792.185,314.289,443.370,31.521
398,77,791.649,313.825,443.302,31.519
402,78,791.891,314.042,443.359,31.486
406,79,791.914,314.161,443.301,31.450
409,80,792.579,314.754,443.337,31.487
413,81,792.521,314.727,443.324,31.474
417,82,792.329,314.601,443.301,31.417
421,83,792.489,314.641,443.375,31.471
426,84,792.500,314.702,443.314,31.482
429,85,792.557,314.728,443.326,31.505
433,86,792.484,314.664,443.340,31.479
437,87,792.420,314.589,443.349,31.479
441,88,792.149,314.557,443.320,31.269
445,89,792.649,314.816,443.335,31.495
449,90,792.392,314.607,443.308,31.474
453,91,792.056,314.271,443.301,31.484
457,92,792.181,314.430,443.345,31.397
460,93,792.187,314.411,443.302,31.470
465,94,792.183,314.456,443.298,31.428
469,95,792.762,314.975,443.308,31.471
472,96,792.177,314.436,443.264,31.472
476,97,792.553,314.765,443.316,31.464
480,98,792.398,314.650,443.302,31.441
482,99,792.600,314.839,443.318,31.451
486,100,792.543,314.761,443.312,31.469
490,101,793.323,315.529,443.326,31.464
493,102,792.543,314.774,443.307,31.460
497,103,792.626,314.795,443.363,31.466
501,104,793.197,315.404,443.334,31.459
504,105,792.834,315.073,443.312,31.446
