episode,steps,total_ms,forward_ms,backward_ms,adam_ms
1,0,107.841,47.773,53.239,6.212
1,1,107.835,47.772,53.233,6.212
1,2,107.844,47.771,53.234,6.221
1,3,107.846,47.772,53.235,6.220
1,4,107.838,47.770,53.235,6.214
1,5,107.847,47.773,53.236,6.220
1,6,107.837,47.772,53.233,6.213
1,7,107.837,47.772,53.235,6.211
1,8,107.848,47.773,53.236,6.220
1,9,107.844,47.772,53.234,6.220
1,10,107.845,47.771,53.234,6.220
1,11,107.844,47.771,53.233,6.221
1,12,107.844,47.772,53.234,6.220
1,13,107.834,47.772,53.234,6.209
1,14,107.842,47.770,53.233,6.221
1,15,107.847,47.773,53.235,6.220
1,16,107.844,47.771,53.235,6.220
1,17,107.844,47.771,53.234,6.220
1,18,107.847,47.772,53.235,6.220
1,19,107.845,47.773,53.234,6.220
1,20,107.845,47.770,53.235,6.220
1,21,107.846,47.772,53.235,6.220
1,22,107.837,47.772,53.234,6.213
1,23,107.832,47.771,53.234,6.209
1,24,107.835,47.771,53.234,6.212
1,25,107.843,47.770,53.234,6.221
1,26,107.844,47.770,53.235,6.220
1,27,107.843,47.770,53.234,6.221
1,28,107.845,47.771,53.235,6.220
1,29,107.844,47.770,53.235,6.220
1,30,107.833,47.772,53.236,6.206
1,31,107.843,47.770,53.234,6.220
1,32,107.842,47.769,53.233,6.220
1,33,107.845,47.773,53.234,6.220
1,34,107.845,47.771,53.234,6.220
1,35,107.845,47.771,53.234,6.220
1,36,107.838,47.771,53.235,6.213
1,37,107.844,47.771,53.234,6.220
1,38,107.846,47.774,53.235,6.220
1,39,107.846,47.774,53.235,6.220
1,40,107.846,47.773,53.236,6.218
1,41,107.846,47.772,53.235,6.220
1,42,107.845,47.772,53.234,6.221
1,43,107.845,47.773,53.234,6.220
1,44,107.846,47.774,53.234,6.221
1,45,107.845,47.770,53.235,6.220
1,46,107.842,47.768,53.234,6.220
1,47,107.842,47.769,53.233,6.221
1,48,107.846,47.773,53.234,6.221
1,49,107.843,47.771,53.233,6.221
