episode,reward
1,19.0
2,23.0
3,52.0
4,51.0
5,30.0
6,32.0
7,47.0
8,57.0
9,18.0
10,80.0
11,30.0
12,26.0
13,41.0
14,17.0
15,79.0
16,103.0
17,78.0
18,40.0
19,84.0
20,93.0
21,82.0
22,68.0
23,104.0
24,98.0
25,39.0
26,92.0
27,57.0
28,17.0
29,31.0
30,76.0
31,34.0
32,95.0
33,43.0
34,35.0
35,184.0
36,100.0
37,103.0
38,257.0
39,286.0
40,254.0
41,242.0
42,195.0
43,235.0
44,207.0
45,212.0
46,266.0
47,500.0
48,344.0
49,478.0
50,235.0
51,282.0
52,202.0
53,475.0
54,211.0
55,269.0
56,249.0
57,332.0
58,390.0
59,241.0
60,356.0
61,500.0
62,500.0
63,500.0
64,387.0
65,500.0
66,500.0
67,399.0
68,382.0
69,319.0
70,341.0
71,259.0
72,272.0
73,253.0
74,241.0
75,279.0
76,273.0
77,281.0
78,352.0
79,500.0
80,500.0
81,142.0
82,183.0
83,359.0
84,500.0
85,377.0
86,403.0
87,364.0
88,447.0
89,351.0
90,500.0
91,500.0
92,500.0
93,500.0
94,500.0
95,500.0
96,500.0
97,399.0
98,500.0
99,500.0
100,500.0
101,486.0
102,500.0
103,500.0
104,500.0
105,220.0
106,500.0
107,500.0
108,343.0
109,500.0
110,500.0
111,500.0
112,486.0
113,500.0
114,500.0
115,500.0
116,500.0
117,500.0
118,500.0
119,500.0
120,500.0
121,500.0
122,500.0
123,500.0
124,500.0
125,500.0
126,500.0
127,500.0
128,500.0
129,500.0
130,500.0
131,500.0
132,500.0
133,500.0
134,500.0
135,500.0
136,500.0
137,500.0
138,500.0
139,500.0
140,500.0
141,500.0
142,500.0
143,500.0
144,500.0
145,500.0
146,500.0
147,500.0
148,500.0
149,500.0
150,500.0
