episode,reward
1,-1331.8279549963831
2,-1683.0555611782393
3,-1184.1592393514827
4,-1318.000408552465
5,-1015.265472209299
6,-993.873824664903
7,-904.732072150047
8,-1084.8092650691108
9,-972.3977513944676
10,-1358.2997356092196
11,-1495.6032486859979
12,-1247.3635946316335
13,-1042.2999995479136
14,-1100.683092709823
15,-1418.659696576355
16,-1163.094736357
17,-1000.692988755712
18,-1077.3638296385775
19,-1287.981809898402
20,-1197.8894198093822
21,-1186.2000085134832
22,-1057.4030452557897
23,-1198.9805771873157
24,-1175.5689977050831
25,-1198.5596349351297
26,-769.2912316478189
27,-950.850996444747
28,-1100.8402978263357
29,-667.0871282263591
30,-1597.0243344951775
31,-1158.0063201245714
32,-1101.5600876765293
33,-1296.7757086075078
34,-1066.4153020942506
35,-912.3875125646919
36,-898.9632232421765
37,-1169.829734915014
38,-977.0833517125178
39,-865.4599726540409
40,-872.4045116556379
41,-1238.8599188588594
42,-748.7808316578202
43,-406.6755560758248
44,-439.6300472991879
45,-496.0970696610908
46,-1117.0765602894749
47,-1167.9933639198493
48,-876.5998620933672
49,-622.8417175158096
50,-128.53203117445779
51,-658.5935689392547
52,-517.2982728986777
53,-797.033237284307
54,-376.0092855719534
55,-265.86393973589173
56,-3.0533192136922964
57,-600.1648908170552
58,-123.81017459152936
59,-126.72713442252645
60,-243.30833869531452
61,-240.03081968524748
62,-124.68314980053746
63,-1418.8522814972007
64,-1174.5526796747338
65,-422.51132166489043
66,-799.4414543977555
67,-526.6247934690866
68,-647.2462648691234
69,-386.6468496036015
70,-6.297570234605356
71,-482.38361949479685
72,-3.2489745077325725
73,-867.0000114304161
74,-129.08549822956073
75,-1081.2831794574893
76,-130.85016341027463
77,-1.3586948462275472
78,-121.47644161936167
79,-1.321134460516603
80,-525.6563017591174
81,-254.22622145153642
82,-401.4519211122277
83,-1068.9924984817287
84,-125.79013117959269
85,-256.18506071989003
86,-124.49158113718792
87,-1370.217585129224
88,-1254.8140142680743
89,-398.38475963680327
90,-525.0884608264623
91,-129.93526802528783
92,-722.6686707039061
93,-2.478337895847345
94,-962.8660058732065
95,-1030.10355190217
96,-4.361211479517494
97,-719.9741629906437
98,-971.8842422898917
99,-1298.4248799617094
100,-1364.6356239206257
101,-1220.8309450671995
102,-1126.82439990004
