episode,reward
1,-1006.97675
2,-1383.4641
3,-1236.1677
4,-1235.1895
5,-1408.7843
6,-1210.0154
7,-987.5248
8,-1209.3726
9,-906.3948
10,-1036.0709
11,-885.9638
12,-1334.1917
13,-1638.8761
14,-1292.8489
15,-967.6739
16,-1261.3467
17,-1414.7478
18,-1277.2167
19,-930.6066
20,-1681.2544
21,-1181.8177
22,-1189.3402
23,-974.15216
24,-1017.16156
25,-1228.1511
26,-1159.1871
27,-982.57886
28,-1170.5602
29,-1420.9834
30,-1220.9358
31,-1263.6986
32,-1199.2041
33,-1235.2174
34,-1233.6803
35,-1173.5009
36,-1352.718
37,-1336.0519
38,-1026.0914
39,-1363.0405
40,-1181.1162
41,-1157.9474
42,-1026.6807
43,-1122.8274
44,-783.31134
45,-780.2984
46,-1134.0283
47,-772.9824
48,-901.25903
49,-981.24475
50,-786.6083
51,-773.38226
52,-685.6663
53,-889.2442
54,-842.8956
55,-956.11847
56,-774.81464
57,-916.18176
58,-891.4615
59,-910.4071
60,-785.4226
61,-500.2646
62,-4.582587
63,-128.3749
64,-246.03401
65,-128.51631
66,-124.655235
67,-119.23129
68,-1.9210448
69,-123.32033
70,-1169.2677
71,-1278.7455
72,-1.3859866
73,-227.74089
74,-485.3857
75,-121.657524
76,-1113.0913
77,-882.2883
78,-971.41644
79,-968.8887
80,-1115.527
81,-1430.3186
82,-1318.9788
83,-1283.2285
84,-770.49243
85,-1040.8962
86,-993.5785
87,-1095.0396
88,-1089.3987
89,-1592.5343
