episode,reward
1,-1248.3702329931948
2,-1556.8504774215444
3,-1268.981542347235
4,-1539.7705896618434
5,-1358.590476799808
6,-1436.3585665540063
7,-1790.5365669756789
8,-887.3166767209043
9,-1008.3674551544899
10,-976.0298982695545
11,-1096.2215984253896
12,-1277.5518796365452
13,-1087.1764300812758
14,-904.5375377958834
15,-932.3599017138251
16,-1188.191654466967
17,-1328.6543201866725
18,-890.952494321121
19,-1070.2195918983168
20,-1176.323177866089
21,-1178.3730316201975
22,-1205.150403333375
23,-1143.6382524519622
24,-1123.574713633228
25,-1153.015692039833
26,-1029.4942037188014
27,-1107.0733143243147
28,-985.8346040966983
29,-976.3742857450062
30,-1066.8627989732713
31,-770.0194915506924
32,-814.0058210971977
33,-633.551759022884
34,-552.6603488665243
35,-1006.4590486467367
36,-861.6510522737318
37,-1198.579872782326
38,-1012.689588477545
39,-801.6266965298151
40,-680.2569617903519
41,-935.6991266896067
42,-900.4267845850196
43,-162.34498450967152
44,-10.693559563241811
45,-249.35416241855938
46,-363.77052149708766
47,-1384.64464454156
48,-367.390831737313
49,-119.20944868528683
50,-122.60540993609274
51,-1045.1861300096377
52,-116.01844436704532
53,-119.31708213834982
54,-1398.6341195714472
55,-1397.497429382921
56,-1029.3688541055144
57,-2.325426038571648
58,-1152.4197676670026
59,-1.7439148374772926
60,-116.13021914199713
61,-269.5827705790732
62,-2.39607241531476
63,-1407.8316968830081
64,-1390.4137873423656
65,-250.52958775656137
66,-243.92645899518396
67,-3.6283719936251217
68,-243.30817167111158
69,-3.4328392142637325
70,-492.99303419583424
71,-245.60758970787626
72,-307.0713498784084
73,-120.99145541898922
74,-248.03593156692207
75,-1426.091523859762
76,-131.1985570383279
77,-1341.0407197891311
78,-1380.8377053687375
79,-244.94342142242064
80,-249.53514880415136
81,-892.0333734373708
82,-487.5003308742301
83,-121.16606703597127
84,-247.3717645038216
85,-123.63187945083946
86,-129.98920123716505
87,-1399.4139654972546
88,-388.44310349995385
89,-490.3267718869283
90,-445.6368893929276
91,-232.19148915359287
92,-117.10830395194456
93,-1257.1378142305266
94,-661.3853657035854
95,-367.7726445488716
96,-254.9815627290369
97,-121.08178826637698
98,-353.24555901753706
99,-128.97061858475283
100,-125.31710643900156
