episode,step,reward,episode_steps
1,62,62.0,62
2,76,14.0,14
3,101,25.0,25
4,137,36.0,36
5,171,34.0,34
6,195,24.0,24
7,207,12.0,12
8,243,36.0,36
9,298,55.0,55
10,351,53.0,53
11,386,35.0,35
12,419,33.0,33
13,464,45.0,45
14,500,36.0,36
15,518,18.0,18
16,563,45.0,45
17,619,56.0,56
18,664,45.0,45
19,716,52.0,52
20,754,38.0,38
21,812,58.0,58
22,889,77.0,77
23,926,37.0,37
24,955,29.0,29
25,1004,49.0,49
26,1046,42.0,42
27,1216,170.0,170
28,1278,62.0,62
29,1443,165.0,165
30,1470,27.0,27
31,1516,46.0,46
32,1584,68.0,68
33,1627,43.0,43
34,1657,30.0,30
35,1725,68.0,68
36,1758,33.0,33
37,1832,74.0,74
38,1883,51.0,51
39,1929,46.0,46
40,1983,54.0,54
41,2044,61.0,61
42,2120,76.0,76
43,2149,29.0,29
44,2215,66.0,66
45,2333,118.0,118
46,2378,45.0,45
47,2496,118.0,118
48,2622,126.0,126
49,2786,164.0,164
50,2865,79.0,79
51,2941,76.0,76
52,3189,248.0,248
53,3356,167.0,167
54,3530,174.0,174
55,3715,185.0,185
56,3948,233.0,233
57,4051,103.0,103
58,4302,251.0,251
59,4441,139.0,139
60,4553,112.0,112
61,4981,428.0,428
62,5094,113.0,113
63,5257,163.0,163
64,5590,333.0,333
65,5955,365.0,365
66,6193,238.0,238
67,6358,165.0,165
68,6548,190.0,190
69,6654,106.0,106
70,6750,96.0,96
71,6819,69.0,69
72,7177,358.0,358
73,7237,60.0,60
74,7405,168.0,168
75,7596,191.0,191
76,7889,293.0,293
77,8038,149.0,149
78,8259,221.0,221
79,8559,300.0,300
80,8689,130.0,130
81,9125,436.0,436
82,9230,105.0,105
83,9315,85.0,85
