step,time
32,17
24,13
18,10
15,9
26,14
13,8
11,7
30,16
18,10
22,12
22,12
47,24
43,22
20,11
19,10
23,12
19,11
12,8
43,22
34,18
16,9
30,16
20,11
23,12
42,22
27,14
13,7
30,16
11,7
19,11
11,7
21,12
16,9
55,28
17,10
24,13
28,15
153,78
62,32
40,21
21,11
48,25
20,11
112,57
49,25
91,47
27,15
45,23
52,27
52,27
52,27
20,11
43,23
56,29
42,22
42,22
34,18
56,29
53,27
49,25
35,19
73,38
72,37
49,25
53,28
44,23
109,56
88,45
79,40
61,32
60,31
109,55
38,20
81,41
43,23
66,34
58,29
106,54
61,32
52,27
70,36
181,91
41,21
66,34
59,31
100,51
43,23
73,37
184,93
165,83
111,57
113,57
88,45
76,39
92,46
38,20
38,20
59,31
30,16
57,29
66,33
73,37
39,21
42,22
41,21
41,21
40,21
33,17
53,28
36,19
31,16
51,26
40,21
46,24
37,19
69,36
66,33
68,34
42,22
34,18
62,32
66,34
47,25
58,30
43,22
61,31
44,23
42,22
75,38
53,28
86,44
62,32
66,34
50,26
54,28
38,20
92,47
52,27
52,27
158,80
161,82
192,96
205,103
154,78
48,25
68,35
140,71
149,75
159,80
242,122
78,39
403,202
303,153
89,46
112,56
74,38
162,81
175,88
500,250
59,30
343,172
383,192
211,106
50,26
190,95
369,185
62,32
79,40
70,36
60,31
83,42
56,29
80,41
59,31
61,31
23,12
31,16
50,26
43,23
19,10
18,10
29,16
37,20
37,19
59,30
19,10
42,22
47,24
67,35
68,35
51,26
29,16
46,24
36,19
44,23
38,20
39,21
39,21
105,53
