step,time
11,7
12,8
13,7
15,9
16,9
17,10
18,10
19,10
20,11
21,12
22,12
23,12
24,13
26,14
27,14
28,15
29,16
30,16
31,16
32,17
33,17
34,18
35,19
36,19
37,19
38,20
39,21
40,21
41,21
42,22
43,23
44,23
45,23
46,24
47,25
48,25
49,25
50,26
51,26
52,27
53,27
54,28
55,28
56,29
57,29
58,29
59,31
60,31
61,32
62,32
66,34
67,35
68,34
69,36
70,36
72,37
73,38
74,38
75,38
76,39
78,39
79,40
80,41
81,41
83,42
86,44
88,45
89,46
91,47
92,47
100,51
105,53
106,54
109,55
111,57
112,57
113,57
140,71
149,75
153,78
154,78
158,80
159,80
161,82
162,81
165,83
175,88
181,91
184,93
190,95
192,96
205,103
211,106
242,122
303,153
343,172
369,185
383,192
403,202
500,250
