episode,reward
1,40
2,19
3,16
4,18
5,23
6,40
7,70
8,16
9,23
10,50
11,37
12,12
13,15
14,24
15,16
16,15
17,73
18,15
19,35
20,33
21,21
22,32
23,17
24,53
25,20
26,28
27,33
28,20
29,60
30,63
31,66
32,32
33,20
34,41
35,78
36,24
37,172
38,108
39,22
40,41
41,19
42,74
43,89
44,83
45,77
46,88
47,76
48,236
49,29
50,123
51,78
52,127
53,34
54,38
55,40
56,42
57,43
58,22
59,53
60,42
61,45
62,39
63,48
64,54
65,60
66,70
67,60
68,73
69,90
70,87
71,57
72,118
73,120
74,148
75,109
76,135
77,149
78,103
79,156
80,146
81,128
82,153
83,193
84,500
85,500
86,500
87,500
88,500
89,500
90,500
91,500
92,295
93,500
94,271
95,500
96,426
97,182
98,161
99,112
100,21
101,138
102,33
103,136
104,85
105,52
106,41
107,49
108,56
109,40
110,42
111,89
112,49
113,41
114,39
115,74
116,82
117,16
118,44
119,99
120,500
121,320
122,146
123,451
124,142
125,500
126,500
127,279
128,239
129,125
130,500
131,500
132,500
133,500
134,500
135,500
136,500
137,500
138,485
139,500
140,500
141,500
142,500
143,500
144,500
145,500
146,500
147,500
148,13
149,500
150,500
