episode,reward
1,28.0
2,27.0
3,11.0
4,13.0
5,11.0
6,29.0
7,14.0
8,14.0
9,12.0
10,23.0
11,12.0
12,23.0
13,11.0
14,15.0
15,16.0
16,18.0
17,15.0
18,14.0
19,10.0
20,19.0
21,13.0
22,26.0
23,12.0
24,11.0
25,17.0
26,14.0
27,13.0
28,13.0
29,22.0
30,15.0
31,11.0
32,26.0
33,21.0
34,12.0
35,14.0
36,11.0
37,14.0
38,17.0
39,34.0
40,23.0
41,19.0
42,16.0
43,19.0
44,16.0
45,30.0
46,17.0
47,13.0
48,15.0
49,21.0
50,12.0
51,15.0
52,22.0
53,14.0
54,27.0
55,24.0
56,35.0
57,29.0
58,35.0
59,25.0
60,30.0
61,25.0
62,37.0
63,39.0
64,34.0
65,30.0
66,32.0
67,35.0
68,27.0
69,41.0
70,35.0
71,51.0
72,44.0
73,29.0
74,54.0
75,41.0
76,36.0
77,53.0
78,46.0
79,59.0
80,59.0
81,87.0
82,51.0
83,91.0
84,125.0
85,107.0
86,77.0
87,49.0
88,26.0
89,32.0
90,43.0
91,49.0
92,77.0
93,52.0
94,93.0
95,84.0
96,124.0
97,96.0
98,164.0
99,93.0
100,158.0
101,198.0
102,322.0
103,274.0
104,500.0
105,127.0
106,11.0
107,14.0
108,15.0
109,11.0
110,11.0
111,11.0
112,13.0
113,11.0
114,11.0
115,11.0
116,11.0
117,11.0
118,11.0
119,11.0
120,11.0
121,11.0
122,13.0
123,13.0
124,14.0
125,72.0
126,100.0
127,107.0
128,364.0
129,500.0
130,500.0
131,500.0
132,500.0
133,500.0
134,500.0
135,500.0
136,500.0
137,500.0
138,500.0
139,500.0
140,500.0
141,500.0
142,500.0
143,500.0
144,500.0
145,500.0
146,500.0
147,500.0
148,500.0
149,500.0
150,500.0
